Team,Massey_Total,Massey_Off,Massey_Def
Air Force,-0.31910732612444737,26.2,29.5
Akron,-0.946338954866746,18.9,28.1
Alabama,2.211405308744345,44.5,10.7
App State,-0.7025703287399544,26.2,32.0
Arizona,0.6925971991582215,33.4,25.7
Arizona State,0.916808698502619,36.1,23.3
Arkansas,1.0018003895893708,32.4,19.4
Arkansas State,-0.2830535566502912,31.5,31.6
Army,-1.3668722137859954,25.2,40.9
Auburn,1.6331186446745471,45.2,22.1
BYU,0.5262593429163261,33.1,24.1
Ball State,-0.7479859868261152,25.6,33.9
Baylor,1.7015753798247393,43.0,19.5
Boise State,0.7079408890921101,36.6,24.7
Boston College,0.2652060631304228,28.7,23.7
Bowling Green,-0.7447529566246411,27.7,33.5
Buffalo,-0.8921636517883067,27.1,33.5
California,0.07552294549669682,36.6,36.3
Central Michigan,-0.5586929029909293,26.1,30.2
Cincinnati,0.3510363816420714,36.3,29.8
Clemson,1.1838279460108705,29.0,11.6
Colorado,-0.3931439403130804,32.5,38.9
Colorado State,0.10500718859056757,33.2,29.2
Duke,0.4107559160179115,29.6,25.1
East Carolina,0.31344357072613455,34.7,24.6
Eastern Michigan,-2.179835484709219,17.8,42.7
Florida,1.1218218701056055,29.8,14.1
Florida Atlantic,-1.0371266799277583,25.2,34.9
Florida International,-1.2678390225331153,15.0,30.3
Florida State,1.6811989896037705,45.0,18.9
Fresno State,-0.6373453087530252,24.5,31.0
Georgia,1.8570444410807707,44.2,16.8
Georgia Southern,-0.2504133068587205,32.0,33.4
Georgia State,-1.9678548272708052,22.8,45.9
Georgia Tech,0.9029203981746783,44.1,32.0
Hawai'i,-1.0957099777419572,15.7,30.6
Houston,0.24035344520955065,30.4,23.6
Idaho,-1.5947627068818018,24.6,41.4
Illinois,-0.24647503492903286,28.3,27.9
Indiana,-0.12684755103963924,30.1,27.8
Iowa,0.3506868410095688,32.5,24.2
Iowa State,-0.6183666486205521,21.7,30.2
Kansas,-0.7954262427596646,21.1,29.1
Kansas State,1.1482918857239113,37.7,23.2
Kent State,-1.2698367808927618,16.7,29.5
Kentucky,0.21850846185952041,29.8,24.8
LSU,1.4144839441369865,34.2,13.3
Louisiana,-0.18125397777040475,30.0,29.3
Louisiana Tech,-0.027832841176384737,27.0,27.5
Louisville,0.921951872399606,34.0,16.7
Marshall,0.9968473783098224,38.4,23.1
Maryland,0.28498813538826695,30.4,26.1
Massachusetts,-1.519581047878229,22.6,39.9
Memphis,0.3667630800282625,26.5,22.0
Miami,0.7966225621048086,35.0,21.3
Miami (OH),-1.5097309550705267,21.5,37.9
Michigan,0.4380253809332875,27.0,19.0
Michigan State,1.6755138971082668,42.5,17.9
Middle Tennessee,-0.7682659541296519,29.6,36.5
Minnesota,0.42888537527879633,29.7,24.3
Mississippi State,1.48651620706125,43.2,20.7
Missouri,1.1167944653987047,33.0,15.2
NC State,0.30211034851437835,34.1,27.1
Navy,-0.009685783122571026,36.5,32.5
Nebraska,0.8623701367039321,33.8,21.0
Nevada,-0.4504580660241372,26.7,33.7
New Mexico,-1.2172942766697776,28.4,42.4
New Mexico State,-1.9185651673907993,23.0,43.3
North Carolina,0.012641694115130456,35.8,35.1
North Texas,-1.0325896947651307,20.2,31.2
Northern Illinois,-0.17529725074286945,29.8,29.6
Northwestern,-0.03267183074557213,23.7,21.6
Notre Dame,0.7501327576716096,37.5,26.0
Ohio,-1.0399080362712714,17.8,28.2
Ohio State,1.847507791009349,45.6,20.1
Oklahoma,1.3233185062038513,39.9,22.2
Oklahoma State,0.4225579784390431,32.0,24.0
Old Dominion,-1.1027734363396342,32.8,43.3
Ole Miss,1.4438163201445486,35.4,14.4
Oregon,1.9103238896583756,48.1,23.2
Oregon State,0.08736330344895832,30.3,27.9
Penn State,0.37069342630134844,20.6,11.0
Pittsburgh,0.6611151799910363,37.4,25.3
Purdue,-0.5563394435355717,22.7,30.2
Rice,-0.40873637040589195,27.9,29.8
Rutgers,-0.15861305779642307,32.0,33.1
SMU,-1.7889995435880555,16.6,34.9
San Diego State,-0.20599961704082104,25.1,24.6
San José State,-1.0684933446327036,22.1,30.5
South Alabama,-0.7003264957251424,23.4,28.3
South Carolina,0.9558392825179067,43.6,26.5
South Florida,-1.0161410207408257,19.0,32.3
Southern Miss,-1.3646988113702347,19.0,34.8
Stanford,1.4182205974058473,33.5,12.0
Syracuse,-0.2731206946034527,18.8,20.9
TCU,1.7677015498926825,39.3,17.5
Temple,-0.3959812086943204,15.8,18.9
Tennessee,0.7944060187329207,31.0,19.9
Texas,0.5307980932723471,26.0,17.2
Texas A&M,1.20338682027299,43.6,26.3
Texas State,-0.772615406751263,27.9,35.3
Texas Tech,0.10812796227507393,39.9,35.3
Toledo,-0.03179842046266415,38.0,35.2
Troy,-1.5423280639059698,22.4,37.5
Tulane,-1.120187080425614,16.2,28.0
Tulsa,-1.2815838138728635,23.6,37.7
UAB,-0.5644515240307564,26.0,32.8
UCF,0.24088127768825696,25.8,19.7
UCLA,1.2785755223364679,39.9,23.0
UConn,-1.2921867023483897,14.6,27.7
UL Monroe,-0.939662899991187,18.4,28.8
UNLV,-1.5262769168952923,22.0,39.1
USC,1.2538039084613388,38.8,22.5
UTEP,-0.9859532833984669,23.5,35.4
UTSA,-0.7092389081140938,16.6,22.1
Utah,0.7125756122103807,29.1,23.0
Utah State,0.1397349913271583,25.2,18.6
Vanderbilt,-0.6552581806365763,22.0,25.3
Virginia,0.2656256019204623,23.5,20.4
Virginia Tech,0.44876561793379793,25.7,17.2
Wake Forest,-0.8769295705812963,13.1,22.6
Washington,0.5865344495689789,28.5,21.8
Washington State,-0.11596643512735835,33.0,32.8
West Virginia,0.6425534285721807,31.3,24.3
Western Kentucky,-0.381670289344736,40.1,41.6
Western Michigan,-0.27971354779836116,30.2,31.8
Wisconsin,1.3107636481148957,38.7,18.1
Wyoming,-1.1550698481937856,20.0,34.1
nationalAverages,,29.4984375,27.3234375
