Team,Massey_Total,Massey_Off,Massey_Def
Air Force,0.26609157885545615,30.0,22.0
Akron,-2.086109376138553,20.3,41.7
Alabama,2.0908451338760288,40.9,15.6
App State,0.6958157518889427,32.0,23.5
Arizona,-1.0590551738773888,19.2,32.3
Arizona State,0.6943819960298769,33.5,20.9
Arkansas,0.9212291665492931,34.3,21.3
Arkansas State,-1.485028700762805,21.0,40.0
Army,0.18128285536377245,28.8,23.5
Auburn,0.8144455083222042,30.2,19.8
BYU,0.5562904608654997,37.2,27.9
Ball State,-0.9101097168931669,21.6,33.7
Baylor,1.1049550933074117,33.1,17.1
Boise State,0.6007909272498998,28.4,20.8
Boston College,-0.023398559039519016,27.0,26.5
Bowling Green,-1.3701932268726003,17.1,29.8
Buffalo,-0.8260750940468786,24.6,33.1
California,0.07206236805031234,27.5,25.0
Central Michigan,-0.20118781768629102,28.5,29.3
Charlotte,-1.3067106715717824,27.6,41.2
Cincinnati,1.4562923369379792,37.5,15.9
Clemson,1.3780581022301277,28.3,11.6
Coastal Carolina,0.6916453362937811,39.5,26.1
Colorado,-0.6974363990225207,18.8,29.6
Colorado State,-0.5324745426428092,23.3,25.9
Duke,-1.2530789648635048,23.4,36.3
East Carolina,-0.15879163470006685,27.4,28.3
Eastern Michigan,-0.7107707536363386,27.2,37.2
Florida,0.7132659480027284,35.0,23.2
Florida Atlantic,-0.5826063694668816,23.1,28.4
Florida International,-1.9997960305481428,19.9,40.2
Florida State,0.41156990368132695,29.8,23.0
Fresno State,0.4951302320164065,34.7,24.2
Georgia,2.5319574272644845,41.4,10.3
Georgia Southern,-1.2786246048635466,18.4,34.0
Georgia State,-0.15694359458770551,27.5,26.7
Georgia Tech,-0.4936435715555796,27.0,32.4
Hawai'i,-0.5505789251201617,27.1,30.1
Houston,0.6780766137945639,31.5,20.0
Illinois,0.13368049303214902,23.2,21.8
Indiana,-0.5504534847853073,20.4,27.3
Iowa,0.7607374746960076,23.6,14.4
Iowa State,1.1801256323003064,33.8,20.2
Kansas,-1.510748788280639,22.3,40.6
Kansas State,0.824040089113391,33.5,19.0
Kent State,-0.7105854174494148,32.3,36.9
Kentucky,0.8618952086461443,35.1,22.3
LSU,0.35750756337236445,28.0,25.6
Liberty,0.35993343024298996,32.1,23.1
Louisiana,0.4972508811056637,30.3,21.2
