Team,Massey_Total,Massey_Off,Massey_Def
Air Force,-0.26192741298708916,29.2,31.2
Akron,-1.341969350980627,11.9,31.0
Alabama,2.5107591007299925,50.9,14.2
App State,0.6318344137723237,30.0,19.0
Arizona,0.14480644918003663,32.3,29.0
Arizona State,0.3952938427723132,33.9,30.4
Arkansas,-0.10827048448140127,29.7,25.7
Arkansas State,-0.20075719386093288,29.9,27.9
Army,0.0058094563742041305,29.4,28.7
Auburn,1.4641452380011484,36.9,14.1
BYU,0.2737294458248475,28.9,22.3
Ball State,-1.3928059128630772,22.5,40.2
Baylor,0.10921115084844552,33.1,30.3
Boise State,0.8136482936160678,37.1,22.8
Boston College,0.34391705578673865,26.5,22.1
Bowling Green,-1.6540311003227837,24.7,43.9
Buffalo,-0.1931659842647207,31.3,29.9
California,0.2504160307010704,18.3,15.6
Central Michigan,-1.4667657439979236,9.0,28.7
Charlotte,-1.325554277131252,15.0,33.5
Cincinnati,0.393782688502162,28.3,22.6
Clemson,2.3700687560762823,43.0,12.6
Coastal Carolina,-1.3361991496743997,28.1,45.7
Colorado,-0.08451841700006807,27.0,27.2
Colorado State,-1.0319530521496758,27.6,36.7
Duke,0.38191539338694946,30.5,25.0
East Carolina,-1.3417571602758755,18.3,34.2
Eastern Michigan,-0.3272914671608327,25.5,26.1
Florida,1.4880858706902622,38.6,17.4
Florida Atlantic,-0.31364813095834543,30.8,29.9
Florida International,-0.5176522923081388,26.7,34.7
Florida State,0.022911734042966276,25.0,22.8
Fresno State,1.08828851060221,33.5,15.5
Georgia,2.1728364214544,45.9,14.2
Georgia Southern,-0.251934525401865,27.9,31.6
Georgia State,-1.5615468941184756,23.6,43.6
Georgia Tech,0.22668688558907613,33.0,33.9
Hawai'i,-0.9974581844504656,29.5,39.5
Houston,-0.003300855785813489,36.7,34.9
Illinois,-0.7055828076190155,29.1,38.6
Indiana,0.0705462929826107,30.2,29.1
Iowa,1.0438797994863338,30.3,17.7
Iowa State,0.533005484808823,29.9,21.5
Kansas,-0.5701676707307657,21.9,31.9
Kansas State,-0.002075491270540991,27.2,27.5
Kent State,-1.6148167077805624,20.5,40.3
Kentucky,0.8855578872732539,29.5,16.3
LSU,1.4414651886887704,34.8,13.4
Liberty,-1.4025520940097174,25.1,41.7
Louisiana,-0.7795060586127904,30.5,38.9
Louisiana Tech,-0.5896866004642246,22.0,27.0
Louisville,-0.8869650608872341,24.5,33.6
Marshall,-0.08756571231694889,22.0,20.5
Maryland,0.2315322668266026,27.6,25.9
Massachusetts,-1.206123026284836,27.8,42.2
Memphis,0.46156796232306513,38.8,30.5
Miami,0.8634026052446766,29.3,15.8
Miami (OH),-0.2488008957747479,26.2,28.4
Michigan,1.5707518773614024,35.5,14.3
Michigan State,0.7600138654145363,22.0,10.8
Middle Tennessee,-0.355990927393245,24.4,28.7
Minnesota,0.38037925234021985,28.2,22.8
Mississippi State,1.5497088387136913,34.6,10.5
Missouri,1.3311794688638359,41.3,21.0
NC State,0.68072318845865,35.1,26.7
Navy,-0.836777761403492,27.5,38.3
Nebraska,0.2614214339448395,32.7,26.9
Nevada,-0.25378552681887473,27.5,28.0
New Mexico,-1.0186691047521945,23.8,35.7
New Mexico State,-1.6602619988199385,19.2,38.0
North Carolina,-0.2642438985614807,29.9,31.9
North Texas,-0.059840826322402195,29.2,29.5
Northern Illinois,-0.33330837490564397,19.1,20.8
Northwestern,0.31852046811506873,25.5,21.6
Notre Dame,1.4910820505583708,34.6,14.5
Ohio,0.23019421994490785,38.2,35.0
Ohio State,1.711201180078952,44.4,21.2
Oklahoma,1.7289988292447473,54.0,30.0
Oklahoma State,0.8698602297542832,42.0,28.9
Old Dominion,-1.2335228198242167,24.9,39.7
Ole Miss,0.4202231462390097,42.1,31.2
Oregon,0.608874019823498,34.7,25.8
Oregon State,-1.1677887059925975,28.8,43.4
Penn State,1.3942179472739178,33.9,14.6
Pittsburgh,0.2324216486498477,29.0,26.6
Purdue,0.45721054884427526,37.2,30.8
Rice,-2.0087925317296227,15.0,42.5
Rutgers,-0.94733903889842,15.0,28.5
SMU,-0.5983218995096066,24.0,29.7
San Diego State,-0.036635087214600515,25.6,21.0
San José State,-1.3721579206498198,17.3,34.7
South Alabama,-1.6041563774180907,24.5,42.0
South Carolina,0.8263011589933811,36.4,23.6
South Florida,-0.4304691581818373,29.1,29.8
Southern Miss,-0.5738894346069247,16.6,21.4
Stanford,0.9464436779241393,35.4,24.3
