Team,Massey_Total,Massey_Off,Massey_Def
Air Force,0.058174631627206215,33.0,29.9
Akron,-0.8748429820368053,22.3,28.2
Alabama,2.4160073424562007,40.0,8.6
App State,0.40400988309589636,30.0,20.5
Arizona,-0.43992134309647857,29.6,32.4
Arizona State,-0.2600565723283682,32.2,37.6
Arkansas,0.42261984476128583,36.2,28.9
Arkansas State,-0.31066602460879467,21.9,21.1
Army,-0.6360961110849156,22.2,29.2
Auburn,1.2633552619779365,32.1,18.4
BYU,0.5739952389504305,29.6,23.1
Ball State,-0.8440136441561603,28.2,35.1
Baylor,0.6690330253077283,37.0,24.2
Boise State,0.7009158312378161,36.7,25.0
Boston College,-0.2672416787612526,20.1,20.8
Bowling Green,-1.030677075235647,25.0,31.8
Buffalo,-1.7308759125202215,16.8,33.5
California,0.12393997786481514,38.4,36.3
Central Michigan,-0.635914839085821,27.6,31.4
Charlotte,-1.7413905493242923,17.6,36.9
Cincinnati,-0.5270840409468542,24.5,27.3
Clemson,2.147149908755299,43.5,14.1
Colorado,0.6884797781960704,29.3,21.7
Colorado State,-0.15834663747524527,33.5,34.0
Duke,-0.19928451177724898,26.8,27.6
East Carolina,-0.8737410214065142,27.2,35.1
Eastern Michigan,-0.8966503829893443,28.3,36.6
Florida,1.0388789559173792,26.6,14.0
Florida Atlantic,-1.3916783919592257,28.7,43.5
Florida International,-1.6072812458140664,25.0,42.2
Florida State,1.7323990781983782,42.6,18.8
Fresno State,-1.5041877872849612,16.4,33.9
Georgia,0.5539283264035768,28.0,17.6
Georgia Southern,-0.5628155575258337,27.8,32.6
Georgia State,-1.1435332639933788,17.3,26.7
Georgia Tech,0.46626773284812456,35.0,28.5
Hawai'i,-1.0652686088062489,28.6,40.8
Houston,0.6220159541601917,30.8,21.7
Idaho,-0.8216310165980516,24.7,34.9
Illinois,-0.6759909875402386,22.7,29.5
Indiana,0.06724574947036999,25.1,19.4
Iowa,0.7043925149250219,29.0,18.9
Iowa State,-0.07948216522501655,27.0,28.5
Kansas,-1.2026169787716658,21.0,36.0
Kansas State,0.6766026033835909,34.2,27.2
Kent State,-1.1318586457526227,16.6,27.4
Kentucky,-0.16332224337906165,30.8,33.4
LSU,1.812903403640591,34.2,9.0
Louisiana,-0.9415362717475713,19.8,29.4
Louisiana Tech,0.13489611987899328,39.8,36.9
Louisville,1.6613821422797477,40.8,17.7
Marshall,-1.199261227631525,24.6,35.8
Maryland,-0.27521049180702056,28.7,28.1
Massachusetts,-1.4152593674992109,23.7,36.7
Memphis,0.3994787441199828,33.8,29.3
Miami,1.3066921056272793,34.1,17.3
Miami (OH),-0.7423138806007439,23.8,29.0
Michigan,1.947645954562781,34.8,11.1
Michigan State,0.3049696662659364,31.0,24.1
Middle Tennessee,-0.43976006952569224,35.0,36.8
Minnesota,0.6485082139124145,27.8,17.5
Mississippi State,0.3198249859883847,34.5,27.8
Missouri,-0.10961040775670126,31.2,31.3
NC State,0.5942424362571135,30.5,19.3
Navy,0.30248285055329327,39.8,33.9
Nebraska,0.5513710452032471,37.7,28.3
Nevada,-1.04629679147688,26.2,37.9
New Mexico,-0.5029340611419455,32.2,38.6
New Mexico State,-1.5769258562531294,23.2,39.5
North Carolina,1.0674053676351662,38.5,24.6
North Texas,-1.3587214764792268,22.0,37.5
Northern Illinois,-0.3939403591207671,32.0,32.7
Northwestern,0.294290151101124,27.9,23.5
Notre Dame,0.8795039358842918,39.4,23.2
Ohio,-0.4581140458421846,22.0,25.8
Ohio State,1.8367455996308544,35.6,15.0
Oklahoma,1.831121684083091,48.7,22.9
Oklahoma State,1.2162342949938478,42.4,27.0
Old Dominion,-0.3728452120541599,29.9,30.9
Ole Miss,0.8063620399169975,38.9,27.9
Oregon,0.23807742477340277,42.5,36.1
Oregon State,-0.34157535620267243,26.1,30.0
Penn State,1.3394871044643317,38.0,20.9
Pittsburgh,0.9008639081911327,43.0,29.4
Purdue,-0.9615799252432657,25.1,35.6
Rice,-1.489625488050231,22.8,38.6
