Team,Massey_Total,Massey_Off,Massey_Def
Air Force,0.26819620736614486,16.3,12.3
Akron,-1.6775687987080254,16.7,38.5
Alabama,2.291852147822507,42.9,14.2
App State,0.037841269978953644,32.9,29.8
Arizona,-0.2502051968627119,37.6,41.1
Arizona State,-0.291011609053994,30.5,35.7
Arkansas,0.7078019221366213,38.3,26.3
Arkansas State,-1.0588965185255585,23.7,38.5
Army,-0.21036128580952873,24.6,25.3
Auburn,0.4222513587040802,32.6,27.9
BYU,-0.057560149118178215,34.3,34.8
Ball State,-1.1762716684577281,16.0,30.1
Baylor,0.7915602971102167,37.6,26.1
Boise State,0.3363166218851834,24.1,18.5
Boston College,-0.9229640002225689,20.4,33.8
Bowling Green,-1.4320048716118994,23.8,40.6
Buffalo,-0.7258892006517573,25.0,35.0
California,-0.21525797582541745,23.2,25.9
Central Michigan,-1.0552280015963107,19.0,32.2
Charlotte,-1.4404377892066134,24.0,39.2
Cincinnati,0.7266722725850849,27.6,16.1
Clemson,1.3893566183374875,34.9,18.5
Coastal Carolina,-0.3136774977360325,32.7,30.6
Colorado,-1.5561604666490765,24.0,45.0
Colorado State,-1.6228464721460791,7.8,29.0
Duke,0.3802134936830675,29.4,24.7
East Carolina,0.07697841245392786,31.5,28.7
Eastern Michigan,-0.7374480604498996,24.0,32.4
Florida,0.67713894444344,39.6,29.5
Florida Atlantic,-0.5011291740694783,24.4,30.4
Florida International,-2.116862624648555,18.4,42.3
Florida State,1.136098148375053,34.8,20.4
Fresno State,0.2451158585103101,27.1,24.4
Georgia,2.5923069683237556,37.2,3.7
Georgia Southern,-0.5487913695502067,34.3,40.3
Georgia State,-0.3819832763248482,33.7,38.3
Georgia Tech,-0.6314967979258993,18.8,29.5
Hawai'i,-1.8232333728860226,15.8,39.4
Houston,0.30414141213836443,42.5,37.7
Illinois,0.9820350459514717,20.6,5.5
Indiana,-0.49113313619716537,29.9,36.6
Iowa,0.7549451979560808,16.0,5.1
Iowa State,0.4329481022125795,17.7,10.6
James Madison,0.3017351592931171,31.3,23.6
Kansas,0.2144883634139551,40.6,36.0
Kansas State,1.4063456985439955,36.4,15.7
Kent State,-0.8376755027210374,25.6,37.9
Kentucky,0.6948993971280171,23.2,9.9
LSU,1.3327681288089503,34.2,17.6
Liberty,-0.2728477288319694,24.1,25.4
Louisiana,-0.06532645207406564,21.7,20.3
Louisiana Tech,-1.2892162716676934,29.6,47.0
Louisville,0.7676222049555256,27.0,19.1
Marshall,0.04925412475077435,15.7,11.4
Maryland,0.7193431898122352,33.8,24.2
Massachusetts,-2.238525894371467,7.5,36.4
Memphis,0.3941849676202493,37.0,31.8
Miami,-0.1628371442694758,24.4,28.9
Miami (OH),-1.034536313463195,8.6,22.1
Michigan,2.1894206140025005,38.0,7.6
Michigan State,0.2381170515858623,31.9,29.7
Middle Tennessee,-0.590123857592477,25.6,33.3
Minnesota,1.0558540358669684,23.5,8.6
Mississippi State,1.1152073804962614,35.1,19.9
Missouri,0.36884109120239905,26.0,18.3
NC State,0.499838157149584,20.4,15.3
Navy,-0.46198845349964457,18.2,24.4
Nebraska,-0.11611846620485168,25.5,25.6
Nevada,-1.6024792952711127,15.9,37.8
New Mexico,-1.8845521720826657,6.0,31.9
New Mexico State,-1.2754287702008222,12.0,26.0
North Carolina,0.5208235452865789,41.7,35.0
North Texas,-0.2504799131445965,31.3,34.1
Northern Illinois,-1.369102080272039,25.3,43.1
Northwestern,-0.8744971361623384,17.0,28.6
Notre Dame,0.8996150681422426,30.5,21.4
Ohio,-0.47892276903556186,31.6,35.2
Ohio State,2.2528329823185174,45.1,15.7
Oklahoma,0.968718359120841,40.8,26.5
Oklahoma State,0.6701616060881499,37.6,27.9
Old Dominion,-0.9920620231550714,16.9,29.3
Ole Miss,1.104428142613604,38.8,23.7
Oregon,1.2878545879059162,44.9,26.5
Oregon State,1.0264544155054844,33.3,17.7
Penn State,1.6516367975018604,36.6,13.9
Pittsburgh,0.6273968955192369,32.8,24.7
Purdue,0.4314501825383802,31.6,22.4
Rice,-1.2314268422119259,23.1,36.9
