Team,Massey_Total,Massey_Off,Massey_Def
Air Force,-0.9018385717744251,17.8,27.5
Akron,-1.4247724900019576,15.7,34.6
Alabama,1.9820025662570266,37.9,14.6
App State,-0.6461229533692376,27.2,33.6
Arizona,-0.29080245928712933,24.4,29.0
Arizona State,0.8444090676086622,32.4,20.9
Arkansas,0.7516370556981848,31.4,21.7
Arkansas State,-0.9360310262426739,24.6,35.2
Army,0.5547426372324595,31.1,21.7
Auburn,0.7561465222966222,27.9,17.8
BYU,0.9688953117550467,32.0,18.8
Ball State,-1.5903876470217697,21.3,40.8
Baylor,0.6889796725597745,33.5,26.2
Boise State,0.8373594743055786,35.3,24.2
Boston College,0.22126874149050652,28.0,24.7
Bowling Green,-0.24160649488782893,25.6,27.2
Buffalo,-0.6393420758867511,25.4,30.2
California,0.3085490019204437,27.4,22.9
Central Michigan,-1.295233101507077,17.7,34.3
Charlotte,-1.2200241132049494,21.4,37.6
Cincinnati,0.10943334068360079,25.6,25.0
Clemson,1.1262153292821502,35.4,20.9
Coastal Carolina,-0.5678543177146415,25.5,33.4
Colorado,0.8321108055641189,33.3,23.5
Colorado State,-0.5878267643281061,24.2,29.2
Duke,0.3448210149592616,26.7,21.3
East Carolina,-0.32966071713486383,28.5,29.7
Eastern Michigan,-1.1396473696771408,20.5,34.3
Florida,1.0220068968897937,31.7,20.0
Florida Atlantic,-1.0645258831914015,20.8,32.1
Florida International,-1.0277244670538463,20.5,31.3
Florida State,-0.32924774308433663,20.1,25.3
Fresno State,-0.31329965990381703,25.1,27.6
Georgia,1.8749127842952835,37.3,14.9
Georgia Southern,-0.20298510940774314,26.5,30.1
Georgia State,-1.180768254008111,21.0,37.4
Georgia Tech,0.3599391000300653,31.1,27.9
Hawai'i,-0.9701495334249324,20.9,30.0
Houston,-0.5055861294536999,18.1,24.5
Illinois,0.5677852137413555,29.0,20.9
Indiana,1.5646397757806088,35.0,16.4
Iowa,1.0679085376691801,27.0,13.3
Iowa State,0.8088008334475969,30.8,20.2
Jacksonville State,-0.11326248446964123,28.8,28.3
James Madison,0.3856691334609734,29.7,22.9
Kansas,0.536299447401462,32.4,26.5
Kansas State,0.9991066046734939,33.0,20.4
Kennesaw State,-1.9578910721503127,10.2,35.1
Kent State,-2.6796645916351247,12.6,43.8
Kentucky,0.38499986433271266,24.5,20.9
