Team,Massey_Total,Massey_Off,Massey_Def
Air Force,0.21610596960589884,25.6,20.9
Akron,-1.7443900366211613,10.5,30.1
Alabama,1.9962872608175894,36.8,15.6
App State,0.11968292145428519,33.5,30.7
Arizona,1.0536576538998215,37.3,23.1
Arizona State,-0.7904652288927837,20.2,29.9
Arkansas,0.22827557853885208,28.3,26.6
Arkansas State,-0.6482970439726484,25.8,32.8
Army,-0.5547072748790686,18.4,22.5
Auburn,0.6810989795732322,26.4,20.1
BYU,-0.22083739004328715,25.3,30.3
Ball State,-1.1173214860981378,12.6,26.3
Baylor,-0.5577217272957373,24.5,32.6
Boise State,0.45251649768993363,32.7,28.2
Boston College,-0.46757778097728775,22.2,27.6
Bowling Green,-0.5625621434582753,21.5,27.4
Buffalo,-1.2090412551404301,15.3,29.5
California,0.1607703000104359,30.6,28.7
Central Michigan,-1.3430189911647594,16.8,34.0
Charlotte,-1.5214072601222366,14.8,34.4
Cincinnati,-0.33185952050166273,21.3,28.3
Clemson,1.0117841637433642,29.3,19.0
Coastal Carolina,-0.17811293853092752,27.6,27.2
Colorado,-0.29843416976066334,29.6,34.4
Colorado State,-0.8747883220928014,21.9,32.0
Duke,0.7485147008992797,27.3,19.5
East Carolina,-0.859930806970622,15.4,28.1
Eastern Michigan,-1.1377924889418094,13.0,26.8
Florida,0.5385559262790403,31.1,26.0
Florida Atlantic,-0.700393625849755,19.8,27.9
Florida International,-1.78068658184172,16.0,35.6
Florida State,1.6315669274612248,34.1,16.5
Fresno State,-0.05672371611902685,28.9,27.9
Georgia,2.3198643999513644,41.5,12.2
Georgia Southern,-0.5448845012750145,30.8,36.5
Georgia State,-0.6543501378681931,28.2,33.3
Georgia Tech,0.13314584318905692,29.4,29.1
Hawai'i,-1.3150741649776307,19.4,35.7
Houston,-0.4172726230365546,25.6,32.2
Illinois,-0.08794897703586642,21.6,24.1
Indiana,-0.4286636138890263,19.6,27.2
Iowa,0.48689134510056103,13.8,9.3
Iowa State,0.6753600781817439,26.4,20.1
Jacksonville State,-0.2321257276742378,24.8,25.9
James Madison,0.7498872201561781,34.6,23.7
