Team,Massey_Total,Massey_Off,Massey_Def
Air Force,0.08500768688164934,32.6,29.2
Akron,-0.4667080013948858,24.8,25.9
Alabama,2.061198884843139,37.7,9.1
App State,0.3522681628718302,33.2,25.1
Arizona,0.23351882997801834,38.0,31.6
Arizona State,0.6142726203004472,34.9,27.2
Arkansas,1.2772052000162797,46.6,28.0
Arkansas State,-0.09187338323881407,30.9,28.4
Army,-1.6240337033799568,20.3,39.0
Auburn,0.9196760359757784,36.1,23.1
BYU,0.528755819636985,31.9,24.6
Ball State,-1.2561733667930075,21.9,37.3
Baylor,1.4673674626566353,45.1,24.1
Boise State,0.7771168530302047,32.2,20.2
Boston College,0.07120107293170395,18.0,12.5
Bowling Green,0.40741302371433774,39.4,32.1
Buffalo,-1.0032719900672677,24.1,32.2
California,0.8603879102783745,41.3,29.5
Central Michigan,-0.3705008603714417,26.4,27.2
Charlotte,-1.8850387357902285,11.9,31.9
Cincinnati,0.0924335780012271,34.4,28.2
Clemson,1.6614079197490084,41.9,17.2
Colorado,-0.36058961317350036,25.8,28.5
Colorado State,-0.39065651294980597,29.4,30.2
Duke,0.16419056223899883,27.0,21.5
East Carolina,-0.20391094362655665,28.6,27.9
Eastern Michigan,-1.75764993183523,25.6,45.5
Florida,0.8957014393939333,26.7,15.8
Florida Atlantic,-0.9417905930497223,18.8,29.3
Florida International,-1.2516854955556385,21.7,36.5
Florida State,1.4592279552856944,38.0,15.0
Fresno State,-1.2985323784883618,19.6,32.8
Georgia,1.122641822425419,28.6,10.7
Georgia Southern,0.33027529355578833,32.8,26.5
Georgia State,-0.8553471249941229,28.0,31.9
Georgia Tech,0.5888557769517682,33.1,25.4
Hawai'i,-1.5143401513026218,16.6,35.1
Houston,0.5043644109377039,33.6,28.4
Idaho,-1.2994912819736923,30.7,44.4
Illinois,0.05670634999930266,22.7,20.2
Indiana,-0.08940258859151198,37.5,35.9
Iowa,0.6643631150512732,30.1,21.0
Iowa State,-0.15990908694787617,31.2,33.7
Kansas,-1.7665003950595102,20.2,40.6
Kansas State,0.13825502628455277,32.2,30.8
Kent State,-1.305663071618647,10.6,21.3
Kentucky,-0.10076075240289278,26.8,27.2
LSU,1.4246077568904416,41.3,21.8
Louisiana,-0.9439511259145251,24.2,32.1
Louisiana Tech,0.3424250034534913,35.6,27.4
Louisville,0.756532437772268,33.4,20.0
Marshall,0.06651416009337774,25.4,20.3
Maryland,-0.2951089099379395,26.1,26.5
Massachusetts,-1.055453875649904,22.1,29.3
Memphis,0.4508457746697805,35.1,30.4
Miami,0.513307365428004,34.9,25.8
Miami (OH),-1.4450960893898015,16.8,29.5
Michigan,1.2903434386235815,35.2,16.2
Michigan State,1.1023874521188937,35.7,20.6
Middle Tennessee,-0.3265556432723725,27.7,32.1
Minnesota,0.2792939830992343,28.1,22.4
Mississippi State,1.0874883699933378,40.2,23.8
Missouri,0.1750357575446081,16.7,12.4
NC State,0.5573029956445437,36.2,24.7
