Team,Massey_Total,Massey_Off,Massey_Def
Air Force,-0.3345278647272969,24.1,29.8
Akron,-2.1224517764581723,11.4,35.1
Alabama,2.644552412976587,46.8,18.6
App State,0.6310229455113842,33.0,22.6
Arizona,-0.5030095658243614,32.8,36.4
Arizona State,0.9267341854721802,30.2,18.9
Arkansas,0.13105297855085876,28.5,26.7
Arkansas State,-0.6673521391391046,31.1,37.2
Army,-0.005858635536296286,27.8,25.3
Auburn,1.0327972600341229,33.0,20.7
BYU,1.4338788469173065,39.2,20.3
Ball State,-0.3000276030208492,27.0,33.8
Baylor,0.1947457329774645,25.6,24.2
Boise State,0.42713285629147224,33.1,26.4
Boston College,0.10338297862897586,30.7,29.7
Bowling Green,-2.4633374923594813,12.8,39.0
Buffalo,0.24478549895035695,27.1,25.6
California,0.19284235783682027,30.6,28.2
Central Michigan,-0.2783533902776758,25.6,27.4
Charlotte,-0.8618095546135852,29.4,35.8
Cincinnati,1.3486284797446197,34.5,15.9
Clemson,2.175032207299791,42.6,16.7
Coastal Carolina,0.5381872397771575,33.7,27.3
Colorado,0.001972336945527363,30.1,30.4
Colorado State,-0.6657138935513903,24.2,30.5
Duke,-0.5407610770552558,21.4,25.5
East Carolina,-0.7534649535551361,26.0,37.1
Eastern Michigan,-0.9250158453285321,28.3,40.5
Florida,1.509173721672345,43.3,23.9
Florida Atlantic,-0.36708472345660764,23.2,23.7
Florida International,-1.3005661752488378,21.6,32.4
Florida State,-0.42279524485904496,26.4,31.3
Fresno State,-0.5620237038320637,29.3,34.8
Georgia,1.6819997779084261,30.8,12.1
Georgia Southern,-0.20631730016250052,27.4,27.1
Georgia State,-0.494624129156897,28.7,34.2
Georgia Tech,-0.2960819314415416,27.2,27.8
Hawai'i,-0.6241472497161382,28.2,35.2
Houston,0.13055540152962344,32.2,29.0
Illinois,-0.37739576188386925,23.9,29.4
Indiana,1.0176572865350402,33.6,22.6
Iowa,1.347048157892512,29.7,13.5
Iowa State,1.2575608060471786,34.5,21.1
Kansas,-1.379188777007148,18.5,34.5
Kansas State,0.14886270664068516,26.7,24.7
Kent State,-0.5307663093269932,29.1,36.4
Kentucky,0.2384406643062499,25.9,24.1
LSU,0.5821902488454207,33.8,28.3
Liberty,0.1664212441554392,34.2,27.6
Louisiana,0.5556058194226914,33.8,25.6
Louisiana Tech,-0.8329082803049922,24.4,31.4
Louisville,0.4766377483931437,37.7,31.1
Marshall,0.43010871016106544,28.6,19.0
Maryland,-0.12863644879464148,27.8,28.0
Massachusetts,-2.7643741131603585,16.7,47.8
Memphis,0.20834541246093236,34.8,29.4
Miami,0.9107894991018113,32.6,20.2
Miami (OH),-0.7842405937956831,20.7,33.6
Michigan,0.5859492468112519,33.0,22.2
Michigan State,-0.27845699318633743,18.3,20.6
Middle Tennessee,-1.3004588047824681,24.3,35.8
Minnesota,0.3711011653793525,35.8,30.7
Mississippi State,0.017748056237985713,25.4,26.9
Missouri,0.06122363186867025,23.4,24.6
NC State,0.005751961796979583,29.8,30.0
Navy,-0.8276415757263964,26.2,35.4
Nebraska,0.472980374875346,33.7,25.9
Nevada,-0.020558955749750488,27.5,25.6
New Mexico,-1.1601605033852334,24.4,39.3
New Mexico State,,12.2,43.8
North Carolina,1.1292099995678395,43.7,25.6
North Texas,-1.152888893899734,28.9,36.7
